"seller_id","month_date","monthly_revenue","cumulative_revenue"
"002100f778ceb8431b7a1020ff7ab48f","2018-03-01","101.51","1854.06"
"002100f778ceb8431b7a1020ff7ab48f","2018-04-01","141.10","1995.16"
"004c9cd9d87a3c30c522c48c4fc07416","2017-01-01","830.37","830.37"
"004c9cd9d87a3c30c522c48c4fc07416","2017-02-01","2308.83","3139.20"
"004c9cd9d87a3c30c522c48c4fc07416","2017-03-01","939.98","4079.18"
"004c9cd9d87a3c30c522c48c4fc07416","2017-04-01","1594.48","5673.66"
"004c9cd9d87a3c30c522c48c4fc07416","2017-05-01","548.47","6222.13"
"004c9cd9d87a3c30c522c48c4fc07416","2017-06-01","1535.25","7757.38"
"004c9cd9d87a3c30c522c48c4fc07416","2017-07-01","1283.24","9040.62"
"004c9cd9d87a3c30c522c48c4fc07416","2017-08-01","3060.87","12101.49"
"004c9cd9d87a3c30c522c48c4fc07416","2017-09-01","1459.69","13561.18"
"004c9cd9d87a3c30c522c48c4fc07416","2017-10-01","793.87","14355.05"
"004c9cd9d87a3c30c522c48c4fc07416","2017-11-01","1890.59","16245.64"
"004c9cd9d87a3c30c522c48c4fc07416","2017-12-01","1605.63","17851.27"
"004c9cd9d87a3c30c522c48c4fc07416","2018-01-01","997.36","18848.63"
"004c9cd9d87a3c30c522c48c4fc07416","2018-02-01","249.73","19098.36"
"004c9cd9d87a3c30c522c48c4fc07416","2018-03-01","841.85","19940.21"
"004c9cd9d87a3c30c522c48c4fc07416","2018-04-01","590.06","20530.27"
"004c9cd9d87a3c30c522c48c4fc07416","2018-05-01","188.1","20718.37"
"00720abe85ba0859807595bbf045a33b","2018-01-01","186.62","186.62"
"00720abe85ba0859807595bbf045a33b","2018-02-01","87.36","273.98"
"00720abe85ba0859807595bbf045a33b","2018-03-01","114.53","388.51"
"00720abe85ba0859807595bbf045a33b","2018-04-01","227.25","615.76"
"00720abe85ba0859807595bbf045a33b","2018-05-01","322.15","937.91"
"00720abe85ba0859807595bbf045a33b","2018-06-01","149.16","1087.07"
"00720abe85ba0859807595bbf045a33b","2018-07-01","94.74","1181.81"
"00720abe85ba0859807595bbf045a33b","2018-08-01","141.67","1323.48"
"00ab3eff1b5192e5f1a63bcecfee11c8","2017-03-01","110.08","110.08"
"00d8b143d12632bad99c0ad66ad52825","2018-03-01","137.1","137.1"
"00ee68308b45bc5e2660cd833c3f81cc","2017-09-01","287.39","287.39"
"00ee68308b45bc5e2660cd833c3f81cc","2017-10-01","1193.87","1481.26"
"00ee68308b45bc5e2660cd833c3f81cc","2017-11-01","2028.38","3509.64"
"00ee68308b45bc5e2660cd833c3f81cc","2017-12-01","2200.46","5710.10"
"00ee68308b45bc5e2660cd833c3f81cc","2018-01-01","7212.75","12922.85"
"00ee68308b45bc5e2660cd833c3f81cc","2018-02-01","3793.31","16716.16"
"00ee68308b45bc5e2660cd833c3f81cc","2018-03-01","3053.08","19769.24"
"00ee68308b45bc5e2660cd833c3f81cc","2018-04-01","2119.51","21888.75"
"00ee68308b45bc5e2660cd833c3f81cc","2018-05-01","87.32","21976.07"
"00ee68308b45bc5e2660cd833c3f81cc","2018-06-01","255.64","22231.71"
"00ee68308b45bc5e2660cd833c3f81cc","2018-07-01","139.08","22370.79"
"00fc707aaaad2d31347cf883cd2dfe10","2018-01-01","302.93","302.93"
"00fc707aaaad2d31347cf883cd2dfe10","2018-02-01","10739.10","11042.03"
"00fc707aaaad2d31347cf883cd2dfe10","2018-03-01","2047.27","13089.30"
"00fc707aaaad2d31347cf883cd2dfe10","2018-04-01","1392.63","14481.93"
"00fc707aaaad2d31347cf883cd2dfe10","2018-05-01","251.39","14733.32"
"00fc707aaaad2d31347cf883cd2dfe10","2018-06-01","236.67","14969.99"
"010543a62bd80aa422851e79a3bc7540","2017-07-01","726.71","726.71"
"010543a62bd80aa422851e79a3bc7540","2017-08-01","721.24","1447.95"
"010da0602d7774602cd1b3f5fb7b709e","2018-06-01","1079.75","1079.75"
"011b0eaba87386a2ae96a7d32bb531d1","2016-10-01","129.16","129.16"
"01266d4c46afa519678d16a8b683d325","2018-08-01","137.48","137.48"
"013900e863eace745d3ec7614cab5b1a","2017-03-01","186.32","186.32"
"013900e863eace745d3ec7614cab5b1a","2017-08-01","209.46","395.78"
"013900e863eace745d3ec7614cab5b1a","2017-11-01","153.98","549.76"
"013900e863eace745d3ec7614cab5b1a","2017-12-01","467.21","1016.97"
"013900e863eace745d3ec7614cab5b1a","2018-01-01","360.91","1377.88"
"013900e863eace745d3ec7614cab5b1a","2018-02-01","481.21","1859.09"
"013900e863eace745d3ec7614cab5b1a","2018-04-01","230.28","2089.37"
"014c0679dd340a0e338872e7ec85666a","2017-01-01","128.2","128.2"
"014c0679dd340a0e338872e7ec85666a","2017-02-01","131.34","259.54"
"014c0679dd340a0e338872e7ec85666a","2017-04-01","619.07","878.61"
"014c0679dd340a0e338872e7ec85666a","2017-05-01","637.49","1516.10"
"014c0679dd340a0e338872e7ec85666a","2017-09-01","682.35","2198.45"
"014c0679dd340a0e338872e7ec85666a","2017-11-01","196.72","2395.17"
"014c0679dd340a0e338872e7ec85666a","2017-12-01","450.24","2845.41"
"014c0679dd340a0e338872e7ec85666a","2018-01-01","490.65","3336.06"
"014c0679dd340a0e338872e7ec85666a","2018-02-01","1369.63","4705.69"
"014c0679dd340a0e338872e7ec85666a","2018-03-01","1861.04","6566.73"
"014c0679dd340a0e338872e7ec85666a","2018-04-01","382.22","6948.95"
"014c0679dd340a0e338872e7ec85666a","2018-07-01","737.36","7686.31"
"014d9a685fd57276679edd00e07089e5","2017-11-01","72.65","72.65"
"014d9a685fd57276679edd00e07089e5","2018-01-01","73.14","145.79"
"014d9a685fd57276679edd00e07089e5","2018-03-01","259.84","405.63"
"014d9a685fd57276679edd00e07089e5","2018-04-01","161.18","566.81"
"014d9a685fd57276679edd00e07089e5","2018-08-01","310.00","876.81"
"0176f73cc1195f367f7b32db1e5b3aa8","2017-11-01","706.16","706.16"
"0176f73cc1195f367f7b32db1e5b3aa8","2018-01-01","1099.23","1805.39"
"0176f73cc1195f367f7b32db1e5b3aa8","2018-02-01","439.67","2245.06"
"0176f73cc1195f367f7b32db1e5b3aa8","2018-03-01","353.44","2598.50"
"0176f73cc1195f367f7b32db1e5b3aa8","2018-04-01","264.74","2863.24"
"0176f73cc1195f367f7b32db1e5b3aa8","2018-05-01","1033.39","3896.63"
"0176f73cc1195f367f7b32db1e5b3aa8","2018-06-01","686.21","4582.84"
"0176f73cc1195f367f7b32db1e5b3aa8","2018-07-01","904.20","5487.04"
"0176f73cc1195f367f7b32db1e5b3aa8","2018-08-01","325.19","5812.23"
"01bcc9d254a0143f0ce9791b960b2a47","2017-08-01","135.05","135.05"
"01bcc9d254a0143f0ce9791b960b2a47","2017-09-01","799.44","934.49"
"01bcc9d254a0143f0ce9791b960b2a47","2017-10-01","370.70","1305.19"
"01bcc9d254a0143f0ce9791b960b2a47","2018-01-01","156.00","1461.19"
"01bcc9d254a0143f0ce9791b960b2a47","2018-02-01","183.5","1644.69"
"01c97ebb5cdac52891c0ed1c37ba0012","2017-04-01","92.82","92.82"
"01c97ebb5cdac52891c0ed1c37ba0012","2017-07-01","45.51","138.33"
"01c97ebb5cdac52891c0ed1c37ba0012","2017-08-01","42.09","180.42"
"01c97ebb5cdac52891c0ed1c37ba0012","2017-11-01","84.18","264.60"
"01c97ebb5cdac52891c0ed1c37ba0012","2018-03-01","402.40","667.00"
"01c97ebb5cdac52891c0ed1c37ba0012","2018-07-01","89.0","756.00"
"01cf7e3d21494c41fb86034f2e714fa1","2016-10-01","89.16","89.16"
"01cf7e3d21494c41fb86034f2e714fa1","2017-01-01","856.48","945.64"
"01cf7e3d21494c41fb86034f2e714fa1","2017-02-01","183.66","1129.30"
"01cf7e3d21494c41fb86034f2e714fa1","2017-03-01","1581.43","2710.73"
"01cf7e3d21494c41fb86034f2e714fa1","2017-04-01","1476.23","4186.96"
"01cf7e3d21494c41fb86034f2e714fa1","2017-05-01","1425.50","5612.46"
"01cf7e3d21494c41fb86034f2e714fa1","2017-06-01","109.77","5722.23"
"01cf7e3d21494c41fb86034f2e714fa1","2017-07-01","1423.36","7145.59"
"01cf7e3d21494c41fb86034f2e714fa1","2017-08-01","2031.22","9176.81"
"01cf7e3d21494c41fb86034f2e714fa1","2018-02-01","1046.41","10223.22"
"01ed254b9ff8407dfb9d99ba1e17d923","2017-08-01","705.69","705.69"
"01ed254b9ff8407dfb9d99ba1e17d923","2017-09-01","352.94","1058.63"
"01ed254b9ff8407dfb9d99ba1e17d923","2017-10-01","359.64","1418.27"
"01ed254b9ff8407dfb9d99ba1e17d923","2017-11-01","115.44","1533.71"
"01fd077212124329bac32490e8ef80d9","2018-04-01","322.91","322.91"
"01fd077212124329bac32490e8ef80d9","2018-05-01","325.68","648.59"
"01fd077212124329bac32490e8ef80d9","2018-06-01","118.37","766.96"
"01fd077212124329bac32490e8ef80d9","2018-07-01","364.62","1131.58"
"01fd077212124329bac32490e8ef80d9","2018-08-01","651.78","1783.36"
"01fdefa7697d26ad920e9e0346d4bd1b","2017-04-01","80.56","80.56"
"01fdefa7697d26ad920e9e0346d4bd1b","2017-05-01","414.85","495.41"
"01fdefa7697d26ad920e9e0346d4bd1b","2017-06-01","460.20","955.61"
"01fdefa7697d26ad920e9e0346d4bd1b","2017-07-01","1438.69","2394.30"
"01fdefa7697d26ad920e9e0346d4bd1b","2017-08-01","1238.80","3633.10"
"01fdefa7697d26ad920e9e0346d4bd1b","2017-09-01","948.34","4581.44"
"01fdefa7697d26ad920e9e0346d4bd1b","2017-10-01","1059.78","5641.22"
"01fdefa7697d26ad920e9e0346d4bd1b","2017-11-01","1366.61","7007.83"
"01fdefa7697d26ad920e9e0346d4bd1b","2017-12-01","2318.55","9326.38"
"01fdefa7697d26ad920e9e0346d4bd1b","2018-01-01","1941.04","11267.42"
"01fdefa7697d26ad920e9e0346d4bd1b","2018-02-01","894.40","12161.82"
"01fdefa7697d26ad920e9e0346d4bd1b","2018-03-01","657.72","12819.54"
"01fdefa7697d26ad920e9e0346d4bd1b","2018-04-01","360.45","13179.99"
"01fdefa7697d26ad920e9e0346d4bd1b","2018-05-01","363.67","13543.66"
"01fdefa7697d26ad920e9e0346d4bd1b","2018-06-01","863.97","14407.63"
"01fdefa7697d26ad920e9e0346d4bd1b","2018-07-01","760.20","15167.83"
"01fdefa7697d26ad920e9e0346d4bd1b","2018-08-01","2240.37","17408.20"
"0241d4d5d36f10f80c644447315af0bd","2017-10-01","171.74","171.74"
"0241d4d5d36f10f80c644447315af0bd","2017-11-01","882.81","1054.55"
"0241d4d5d36f10f80c644447315af0bd","2017-12-01","1039.01","2093.56"
"0241d4d5d36f10f80c644447315af0bd","2018-01-01","3764.38","5857.94"
"0241d4d5d36f10f80c644447315af0bd","2018-02-01","4190.22","10048.16"
"0241d4d5d36f10f80c644447315af0bd","2018-03-01","3155.72","13203.88"
"0241d4d5d36f10f80c644447315af0bd","2018-04-01","3154.09","16357.97"
"0241d4d5d36f10f80c644447315af0bd","2018-05-01","5025.07","21383.04"
"0241d4d5d36f10f80c644447315af0bd","2018-06-01","6385.07","27768.11"
"0241d4d5d36f10f80c644447315af0bd","2018-07-01","5695.91","33464.02"
"0241d4d5d36f10f80c644447315af0bd","2018-08-01","3924.49","37388.51"
"0249d282d911d23cb8b869ab49c99f53","2017-09-01","63.57","63.57"
"0249d282d911d23cb8b869ab49c99f53","2017-10-01","188.31","251.88"
"0249d282d911d23cb8b869ab49c99f53","2017-11-01","245.21","497.09"
"0249d282d911d23cb8b869ab49c99f53","2018-03-01","34.79","531.88"
"024b564ae893ce8e9bfa02c10a401ece","2016-10-01","625.2","625.2"
"024b564ae893ce8e9bfa02c10a401ece","2017-02-01","293.2","918.4"
"02b72cdeb9cfcc429f1af6f4e3f3b737","2018-07-01","173.85","173.85"
"02b72cdeb9cfcc429f1af6f4e3f3b737","2018-08-01","574.79","748.64"
"02c988090b766852e088c69d7fb3b551","2017-07-01","187.82","187.82"
"02c988090b766852e088c69d7fb3b551","2017-08-01","187.43","375.25"
"02c988090b766852e088c69d7fb3b551","2017-09-01","92.95","468.20"
"02c988090b766852e088c69d7fb3b551","2017-10-01","131.44","599.64"
"02c988090b766852e088c69d7fb3b551","2017-11-01","51.89","651.53"
"02c988090b766852e088c69d7fb3b551","2018-01-01","101.73","753.26"
"02c988090b766852e088c69d7fb3b551","2018-02-01","46.75","800.01"
"02c988090b766852e088c69d7fb3b551","2018-04-01","199.75","999.76"
"02c988090b766852e088c69d7fb3b551","2018-05-01","194.9","1194.66"
"02c988090b766852e088c69d7fb3b551","2018-06-01","199.97","1394.63"
"02c988090b766852e088c69d7fb3b551","2018-08-01","183.12","1577.75"
"02d35243ea2e497335cd0f076b45675d","2017-04-01","538.04","538.04"
"02d35243ea2e497335cd0f076b45675d","2017-06-01","280.27","818.31"
"02d35243ea2e497335cd0f076b45675d","2017-08-01","1449.91","2268.22"
"02d35243ea2e497335cd0f076b45675d","2017-09-01","280.27","2548.49"
"02d35243ea2e497335cd0f076b45675d","2017-11-01","1221.56","3770.05"
"02d35243ea2e497335cd0f076b45675d","2017-12-01","1996.32","5766.37"
"02d35243ea2e497335cd0f076b45675d","2018-03-01","330.12","6096.49"
"02d35243ea2e497335cd0f076b45675d","2018-08-01","303.46","6399.95"
"02dcd3e8e25bee036e32512bcf175493","2018-02-01","273.87","273.87"
"02dcd3e8e25bee036e32512bcf175493","2018-03-01","513.57","787.44"
"02dcd3e8e25bee036e32512bcf175493","2018-04-01","208.77","996.21"
"02dcd3e8e25bee036e32512bcf175493","2018-07-01","221.48","1217.69"
"02dcd3e8e25bee036e32512bcf175493","2018-08-01","405.80","1623.49"
"02ecc2a19303f05e59ce133fd923fff7","2017-06-01","167.2","167.2"
"02ecc2a19303f05e59ce133fd923fff7","2017-09-01","491.23","658.43"
"02ecc2a19303f05e59ce133fd923fff7","2017-11-01","915.84","1574.27"
"02ecc2a19303f05e59ce133fd923fff7","2017-12-01","972.09","2546.36"
"02ecc2a19303f05e59ce133fd923fff7","2018-01-01","512.03","3058.39"
"02ecc2a19303f05e59ce133fd923fff7","2018-02-01","327.72","3386.11"
"02ecc2a19303f05e59ce133fd923fff7","2018-03-01","1214.44","4600.55"
"02ecc2a19303f05e59ce133fd923fff7","2018-04-01","231.38","4831.93"
"02ecc2a19303f05e59ce133fd923fff7","2018-05-01","444.56","5276.49"
"02ecc2a19303f05e59ce133fd923fff7","2018-07-01","324.66","5601.15"
"02ecc2a19303f05e59ce133fd923fff7","2018-08-01","141.25","5742.40"
"02f5837340d7eb4f653d676c7256523a","2017-11-01","786.98","786.98"
"02f5837340d7eb4f653d676c7256523a","2017-12-01","1031.05","1818.03"
"02f5837340d7eb4f653d676c7256523a","2018-01-01","1767.79","3585.82"
"02f5837340d7eb4f653d676c7256523a","2018-03-01","201.45","3787.27"
"02f5837340d7eb4f653d676c7256523a","2018-04-01","134.38","3921.65"
"02f5837340d7eb4f653d676c7256523a","2018-06-01","266.03","4187.68"
"02f5837340d7eb4f653d676c7256523a","2018-07-01","138.10","4325.78"
"02f5837340d7eb4f653d676c7256523a","2018-08-01","138.10","4463.88"
"02f623a8eb246f3c5f7c2f96462654e6","2018-04-01","323.07","323.07"
"02f623a8eb246f3c5f7c2f96462654e6","2018-05-01","623.55","946.62"
"02f623a8eb246f3c5f7c2f96462654e6","2018-06-01","1322.71","2269.33"
"02f623a8eb246f3c5f7c2f96462654e6","2018-07-01","2133.13","4402.46"
"02f623a8eb246f3c5f7c2f96462654e6","2018-08-01","2429.09","6831.55"
"0307f7565ff85b299b6e5ef162b1b1a9","2016-10-01","27.86","27.86"
"0307f7565ff85b299b6e5ef162b1b1a9","2017-02-01","2330.56","2358.42"
"0307f7565ff85b299b6e5ef162b1b1a9","2017-03-01","1959.84","4318.26"
"0307f7565ff85b299b6e5ef162b1b1a9","2017-05-01","650.63","4968.89"
"0336182e1b3e92f029d5354832045fdf","2016-10-01","47.37","47.37"
"034b9387752bfa309f350a70cd45ffa3","2018-04-01","120.13","120.13"
"034b9387752bfa309f350a70cd45ffa3","2018-06-01","30.23","150.36"
"034b9387752bfa309f350a70cd45ffa3","2018-07-01","59.67","210.03"
"034b9387752bfa309f350a70cd45ffa3","2018-08-01","30.23","240.26"
"038b75b729c8a9a04b0d07cba7eabe86","2018-04-01","557.85","557.85"
"039b29ff3b3473435d0cd59040575de9","2018-04-01","40.42","40.42"
"039b29ff3b3473435d0cd59040575de9","2018-05-01","38.95","79.37"
"039b29ff3b3473435d0cd59040575de9","2018-06-01","16.29","95.66"
"039b29ff3b3473435d0cd59040575de9","2018-07-01","24.29","119.95"
"039b29ff3b3473435d0cd59040575de9","2018-08-01","95.60","215.55"
"039e6ad9dae79614493083e241147386","2018-04-01","4939.70","4939.70"
"039e6ad9dae79614493083e241147386","2018-05-01","6595.55","11535.25"
"039e6ad9dae79614493083e241147386","2018-07-01","1738.17","13273.42"
"03a2a6dcbe45d639c4dc2a0d24769c40","2018-03-01","478.90","478.90"
"03a2a6dcbe45d639c4dc2a0d24769c40","2018-04-01","162.85","641.75"
"03a2a6dcbe45d639c4dc2a0d24769c40","2018-06-01","253.77","895.52"
"03a2a6dcbe45d639c4dc2a0d24769c40","2018-08-01","355.14","1250.66"
"03bd479e1d9484cdb14104d3023f7321","2018-05-01","142.45","142.45"
"03bd479e1d9484cdb14104d3023f7321","2018-07-01","274.97","417.42"
"0417b067eeab773d2f7061a726dc477f","2018-03-01","513.02","513.02"
"0417b067eeab773d2f7061a726dc477f","2018-04-01","150.83","663.85"
"0417b067eeab773d2f7061a726dc477f","2018-05-01","615.06","1278.91"
"0417b067eeab773d2f7061a726dc477f","2018-07-01","93.59","1372.50"
"0417b067eeab773d2f7061a726dc477f","2018-08-01","1129.25","2501.75"
"042573af89b6d931f672efaf789d8358","2018-01-01","272.15","272.15"
"042573af89b6d931f672efaf789d8358","2018-02-01","206.42","478.57"
"04308b1ee57b6625f47df1d56f00eedf","2017-11-01","4148.68","4148.68"
"04308b1ee57b6625f47df1d56f00eedf","2017-12-01","4436.36","8585.04"
"04308b1ee57b6625f47df1d56f00eedf","2018-01-01","666.27","9251.31"
"04308b1ee57b6625f47df1d56f00eedf","2018-02-01","6573.73","15825.04"
"04308b1ee57b6625f47df1d56f00eedf","2018-03-01","14937.86","30762.90"
"04308b1ee57b6625f47df1d56f00eedf","2018-04-01","3915.45","34678.35"
"04308b1ee57b6625f47df1d56f00eedf","2018-06-01","516.66","35195.01"
"04308b1ee57b6625f47df1d56f00eedf","2018-07-01","17167.38","52362.39"
"04308b1ee57b6625f47df1d56f00eedf","2018-08-01","9026.74","61389.13"
"0432ead42b6c8a0bdf68154add917fdf","2017-04-01","1090.90","1090.90"
"0432ead42b6c8a0bdf68154add917fdf","2017-05-01","1772.70","2863.60"
"0432ead42b6c8a0bdf68154add917fdf","2017-06-01","820.63","3684.23"
"0432ead42b6c8a0bdf68154add917fdf","2017-07-01","468.59","4152.82"
"0432ead42b6c8a0bdf68154add917fdf","2017-08-01","562.84","4715.66"
"0432ead42b6c8a0bdf68154add917fdf","2017-09-01","848.55","5564.21"
"0432ead42b6c8a0bdf68154add917fdf","2017-10-01","669.68","6233.89"
"0432ead42b6c8a0bdf68154add917fdf","2017-11-01","836.20","7070.09"
"0432ead42b6c8a0bdf68154add917fdf","2017-12-01","820.50","7890.59"
"0432ead42b6c8a0bdf68154add917fdf","2018-01-01","253.29","8143.88"
"0432ead42b6c8a0bdf68154add917fdf","2018-02-01","175.42","8319.30"
"0432ead42b6c8a0bdf68154add917fdf","2018-03-01","318.75","8638.05"
"0432ead42b6c8a0bdf68154add917fdf","2018-05-01","72.94","8710.99"
"0432ead42b6c8a0bdf68154add917fdf","2018-07-01","43.41","8754.40"
"044668ccd5316b12a7cf0d54a156e3e9","2018-08-01","191.35","191.35"
"04843805947f0fc584fc1969b6e50fe7","2018-08-01","1474.76","1474.76"
"048c2757535328e0d7dac690ad3c0aae","2017-03-01","1017.21","1017.21"
"048c2757535328e0d7dac690ad3c0aae","2017-04-01","578.91","1596.12"
"048c2757535328e0d7dac690ad3c0aae","2017-05-01","214.12","1810.24"
"048c2757535328e0d7dac690ad3c0aae","2017-07-01","570.87","2381.11"
"048c2757535328e0d7dac690ad3c0aae","2017-08-01","218.35","2599.46"
"048c2757535328e0d7dac690ad3c0aae","2017-09-01","351.38","2950.84"
"048c2757535328e0d7dac690ad3c0aae","2017-10-01","886.54","3837.38"
"048c2757535328e0d7dac690ad3c0aae","2017-11-01","614.95","4452.33"
"048c2757535328e0d7dac690ad3c0aae","2017-12-01","394.61","4846.94"
"048c2757535328e0d7dac690ad3c0aae","2018-01-01","118.63","4965.57"
"048c2757535328e0d7dac690ad3c0aae","2018-02-01","592.81","5558.38"
"048c2757535328e0d7dac690ad3c0aae","2018-03-01","710.42","6268.80"
"048c2757535328e0d7dac690ad3c0aae","2018-04-01","935.38","7204.18"
"048c2757535328e0d7dac690ad3c0aae","2018-05-01","1010.24","8214.42"
"048c2757535328e0d7dac690ad3c0aae","2018-06-01","802.74","9017.16"
"048c2757535328e0d7dac690ad3c0aae","2018-07-01","760.81","9777.97"
"048c2757535328e0d7dac690ad3c0aae","2018-08-01","534.44","10312.41"
"04aa0a1c5ce6b222003403a3e11c3cc0","2017-03-01","359.67","359.67"
"04aa0a1c5ce6b222003403a3e11c3cc0","2017-04-01","227.28","586.95"
"04aa0a1c5ce6b222003403a3e11c3cc0","2017-05-01","2024.05","2611.00"
"04aa0a1c5ce6b222003403a3e11c3cc0","2017-07-01","397.03","3008.03"
"04aa0a1c5ce6b222003403a3e11c3cc0","2017-08-01","403.05","3411.08"
"04aa0a1c5ce6b222003403a3e11c3cc0","2017-09-01","2721.41","6132.49"
"04aa0a1c5ce6b222003403a3e11c3cc0","2018-01-01","207.02","6339.51"
"04aba03279157f6d4e0fe8ccaf21963c","2017-05-01","317.50","317.50"
"04aba03279157f6d4e0fe8ccaf21963c","2017-08-01","132.05","449.55"
"04aba03279157f6d4e0fe8ccaf21963c","2017-10-01","243.11","692.66"
"04aba03279157f6d4e0fe8ccaf21963c","2017-11-01","316.4","1009.06"
"04aba03279157f6d4e0fe8ccaf21963c","2017-12-01","624.48","1633.54"
"04aba03279157f6d4e0fe8ccaf21963c","2018-01-01","136.08","1769.62"
"04aba03279157f6d4e0fe8ccaf21963c","2018-02-01","144.5","1914.12"
"04aba03279157f6d4e0fe8ccaf21963c","2018-03-01","372.27","2286.39"
"04aba03279157f6d4e0fe8ccaf21963c","2018-04-01","212.38","2498.77"
"04aba03279157f6d4e0fe8ccaf21963c","2018-08-01","236.46","2735.23"
"04e38a233f726ef161074ab1c9b0399a","2017-09-01","372.62","372.62"
"04e38a233f726ef161074ab1c9b0399a","2017-10-01","35.01","407.63"
"04e38a233f726ef161074ab1c9b0399a","2017-11-01","381.57","789.20"
"04e38a233f726ef161074ab1c9b0399a","2018-01-01","125.03","914.23"
"04e38a233f726ef161074ab1c9b0399a","2018-03-01","231.18","1145.41"
"04e38a233f726ef161074ab1c9b0399a","2018-04-01","155.67","1301.08"
"04e38a233f726ef161074ab1c9b0399a","2018-05-01","46.19","1347.27"
"04ee0ec01589969663ba5967c0e0bdc0","2018-08-01","314.32","314.32"
"04fdea0c111866e6cf812f1570d6b5bd","2017-10-01","104.48","104.48"
"04fdea0c111866e6cf812f1570d6b5bd","2017-11-01","112.92","217.40"
"04fdea0c111866e6cf812f1570d6b5bd","2017-12-01","351.87","569.27"
"04fdea0c111866e6cf812f1570d6b5bd","2018-01-01","469.08","1038.35"
"0509040ea3fe50071181bbc359eb7738","2017-05-01","239.45","239.45"
"0509040ea3fe50071181bbc359eb7738","2017-06-01","318.87","558.32"
"0509040ea3fe50071181bbc359eb7738","2017-07-01","43.09","601.41"
"0509040ea3fe50071181bbc359eb7738","2017-08-01","258.04","859.45"
"0509040ea3fe50071181bbc359eb7738","2017-09-01","341.50","1200.95"
"0509040ea3fe50071181bbc359eb7738","2017-10-01","56.05","1257.00"
"0509040ea3fe50071181bbc359eb7738","2017-11-01","809.49","2066.49"
"0509040ea3fe50071181bbc359eb7738","2017-12-01","1017.90","3084.39"
"0509040ea3fe50071181bbc359eb7738","2018-01-01","466.28","3550.67"
"0509040ea3fe50071181bbc359eb7738","2018-02-01","500.54","4051.21"
"0509040ea3fe50071181bbc359eb7738","2018-03-01","264.19","4315.40"
"0509040ea3fe50071181bbc359eb7738","2018-04-01","305.22","4620.62"
"0509040ea3fe50071181bbc359eb7738","2018-05-01","153.64","4774.26"
"0509040ea3fe50071181bbc359eb7738","2018-06-01","72.05","4846.31"
"0509040ea3fe50071181bbc359eb7738","2018-07-01","182.56","5028.87"
"0509040ea3fe50071181bbc359eb7738","2018-08-01","70.38","5099.25"
"052577151711aec5c744fe12e66db3e1","2017-10-01","729.65","729.65"
"054694fa03fe82cec4b7551487331d74","2017-01-01","2594.42","2594.42"
"054694fa03fe82cec4b7551487331d74","2017-02-01","286.31","2880.73"
"054694fa03fe82cec4b7551487331d74","2017-03-01","1206.75","4087.48"
"054694fa03fe82cec4b7551487331d74","2017-04-01","466.28","4553.76"
"054694fa03fe82cec4b7551487331d74","2017-05-01","870.78","5424.54"
"054694fa03fe82cec4b7551487331d74","2017-06-01","479.17","5903.71"
"054694fa03fe82cec4b7551487331d74","2017-09-01","806.0","6709.71"
"054694fa03fe82cec4b7551487331d74","2017-10-01","525.32","7235.03"
"054694fa03fe82cec4b7551487331d74","2018-01-01","1075.00","8310.03"
